年度,經濟成長率,平均每人國民所得毛額（美元）,儲蓄率,失業率（百分比）,產業結構（按各產業GDP比重）-農業,產業結構（按各產業GDP比重）-工業,產業結構（按各產業GDP比重）-服務業,產業結構（按各產業GDP比重）-服務業-金融中介業,產業結構（按各產業GDP比重）-服務業-保險業,產業結構（按各產業GDP比重）-服務業-證券期貨及其它金融業,生產者物價-指數,生產者物價-年增率,消費者物價-指數,消費者物價-年增率,基本工資（金額）-月薪,基本工資（金額）-時薪,工業及服務業平均月薪資（元）,製造業平均月薪資（元）,工業及服務業平均月工時（小時）
1995,6.5,13315,29.53,1.79,…,…,…,…,…,…,…,…,…,…,14880,62,35355,…,194.3
1996,6.18,13826,28.6,2.6,…,…,…,…,…,…,…,…,…,…,15360,64,36655,…,193.4
1997,6.05,14163,28.58,2.72,…,…,…,…,…,…,…,…,…,…,15840,66,38435,…,193.9
1998,4.2,12911,28.11,2.69,…,…,…,…,…,…,…,…,…,…,15840,66,39603,…,190.2
1999,6.73,13929,28.56,2.92,…,…,…,…,…,…,…,…,…,…,15840,66,40781,…,190.2
2000,6.31,15105,29.24,2.99,…,…,…,…,…,…,…,…,…,…,15840,66,41831,…,190.1
2001,-1.4,13647,26.69,4.57,…,…,…,…,…,…,…,…,…,…,15840,66,41952,…,180.4
2002,5.48,13990,27.99,5.17,1.81,30.66,67.53,…,…,…,…,…,…,…,15840,66,41533,…,181.4
2003,4.22,14481,29.72,4.99,1.7,31.59,66.71,…,…,…,…,…,…,…,15840,66,42068,…,181.3
2004,6.95,15797,30.01,4.44,1.66,32.24,66.1,…,…,…,…,…,…,…,15840,66,42684,…,183.5
2005,5.38,16846,29.09,4.13,1.64,31.76,66.6,…,…,…,…,…,…,…,15840,66,43162,…,181.9
2006,5.77,17346,30.53,3.91,1.59,31.83,66.58,4.73,1.65,0.79,…,…,…,…,15840,66,43492,…,180.9
2007,6.85,18189,31.07,3.91,1.47,32.52,66.01,4.46,1.71,0.98,…,…,…,…,17280,95,44411,…,180.4
2008,0.8,18503,29.17,4.14,1.57,30.87,67.56,4.49,1.69,0.85,…,…,…,…,17280,95,44419,…,179.6
2009,-1.61,17460,28.9,5.85,1.7,31.08,67.22,3.73,1.66,0.85,…,…,…,…,17280,95,42300,…,176.7
2010,10.25,19765,32.83,5.21,1.61,33.39,65,3.82,1.56,0.81,…,…,89.93,0.97,17280,95,44647,…,181.1
2011,3.67,21410,31.16,4.39,1.74,32.62,65.64,3.97,1.65,0.75,…,…,91.21,1.42,17880,98,45963,…,178.7
2012,2.22,21922,30.45,4.24,1.7,32.66,65.64,4.07,1.71,0.62,…,…,92.97,1.93,18780,103,46075,…,178.4
2013,2.48,22552,32.39,4.18,1.73,33.72,64.54,4.07,1.68,0.61,…,…,93.71,0.8,19047,109,46087,…,177
2014,4.72,23492,34.35,3.96,1.85,35.57,62.57,4.1,1.71,0.64,…,…,94.83,1.2,19273,115,47744,…,177.9
2015,1.47,23367,35.46,3.78,1.76,36.29,61.95,4.07,1.76,0.63,…,…,94.54,-0.31,27470,183,48956,…,175.4
2016,2.17,23684,35.21,3.92,1.87,36.87,61.27,3.89,1.92,0.6,…,…,95.86,1.4,20008,126,49257,…,169.6
2017,3.31,25704,35.61,3.76,1.82,36.83,61.35,3.85,1.99,0.69,…,…,96.45,0.62,21009,133,50634,…,169.5
2018,2.79,26421,34.77,3.71,1.69,36.31,62,3.9,2.01,0.75,…,…,97.76,1.36,22000,140,52468,…,169.4
2019,3.06,26561,34.74,3.73,1.68,35.46,62.86,3.89,2.14,0.72,…,…,98.3,0.55,23100,150,53551,55816,168.8
2020,3.39,29369,38.76,3.85,1.58,37.32,61.1,3.82,1.99,0.9,…,…,98.07,-0.23,23800,158,54278,56538,168.3
2021,6.62,33808,43.32,3.95,1.43,38.71,59.87,3.76,1.83,1.15,100,…,100,1.97,24000,160,56127,60545,166.6
2022,2.59,33624,41.53,3.67,1.39,37.6,61,3.87,1.64,0.87,110.51,10.51,102.95,2.95,25250,168,58042,63324,167.1
2023,1.31,33299,p   37.75,3.48,p   1.49,p  36.81,p  61.70,…,…,…,109.88,-0.57,105.51,2.49,26400,176,58420,62492,168.3
